date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,2.0,2.0,1.0,3.0,0.0
2021-01-02,41.0,0.0,2.0,0.0,1.0
2021-01-03,9.0,2.0,4.0,2.0,1.0
2021-01-04,12.0,1.0,2.0,3.0,2.0
2021-01-05,13.0,4.0,3.0,19.0,0.0
2021-01-06,15.0,7.0,2.0,3.0,1.0
2021-01-07,21.0,4.0,5.0,6.0,0.0
2021-01-08,29.0,5.0,1.0,5.0,0.0
2021-01-09,8.0,1.0,0.0,10.0,3.0
2021-01-10,12.0,1.0,1.0,3.0,2.0
2021-01-11,22.0,2.0,2.0,2.0,2.0
2021-01-12,29.0,5.0,1.0,23.0,3.0
2021-01-13,18.0,7.0,2.0,11.0,5.0
2021-01-14,15.0,6.0,4.0,0.0,1.0
2021-01-15,20.0,4.0,1.0,20.0,0.0
2021-01-16,3.0,1.0,0.0,3.0,0.0
2021-01-17,6.0,2.0,1.0,0.0,0.0
2021-01-18,20.0,3.0,3.0,11.0,2.0
2021-01-19,21.0,8.0,3.0,22.0,2.0
2021-01-20,24.0,4.0,2.0,16.0,2.0
2021-01-21,16.0,13.0,5.0,5.0,1.0
2021-01-22,15.0,5.0,4.0,0.0,0.0
2021-01-23,5.0,2.0,1.0,0.0,0.0
2021-01-24,28.0,3.0,0.0,0.0,1.0
2021-01-25,30.0,6.0,2.0,5.0,1.0
2021-01-26,19.0,1.0,2.0,5.0,3.0
2021-01-27,21.0,4.0,3.0,14.0,8.0
2021-01-28,14.0,3.0,1.0,2.0,2.0
2021-01-29,7.0,1.0,0.0,0.0,2.0
2021-01-30,3.0,3.0,0.0,0.0,0.0
2021-01-31,5.0,4.0,2.0,0.0,0.0
2021-02-01,17.0,6.0,2.0,0.0,2.0
2021-02-02,24.0,4.0,1.0,6.0,0.0
2021-02-03,12.0,6.0,3.0,1.0,0.0
2021-02-04,21.0,8.0,3.0,2.0,0.0
2021-02-05,18.0,3.0,0.0,17.0,4.0
2021-02-06,8.0,4.0,0.0,0.0,0.0
2021-02-07,4.0,0.0,1.0,1.0,3.0
2021-02-08,19.0,1.0,1.0,3.0,3.0
2021-02-09,18.0,5.0,4.0,0.0,1.0
2021-02-10,11.0,5.0,2.0,0.0,2.0
2021-02-11,20.0,5.0,3.0,7.0,0.0
2021-02-12,7.0,3.0,0.0,0.0,0.0
2021-02-13,0.0,0.0,0.0,0.0,0.0
2021-02-14,1.0,1.0,0.0,0.0,0.0
2021-02-15,1.0,2.0,0.0,0.0,0.0
2021-02-16,26.0,2.0,2.0,1.0,1.0
2021-02-17,13.0,1.0,1.0,25.0,3.0
2021-02-18,8.0,0.0,1.0,14.0,1.0
2021-02-19,14.0,5.0,0.0,0.0,2.0
2021-02-20,12.0,3.0,3.0,2.0,1.0
2021-02-21,7.0,3.0,1.0,8.0,3.0
2021-02-22,7.0,3.0,1.0,5.0,0.0
2021-02-23,18.0,6.0,0.0,4.0,0.0
2021-02-24,23.0,9.0,2.0,2.0,1.0
2021-02-25,11.0,7.0,1.0,14.0,5.0
2021-02-26,14.0,3.0,3.0,1.0,3.0
2021-02-27,1.0,1.0,0.0,5.0,0.0
2021-02-28,17.0,2.0,1.0,0.0,0.0
2021-03-01,20.0,3.0,4.0,4.0,1.0
2021-03-02,20.0,3.0,2.0,2.0,2.0
2021-03-03,7.0,2.0,2.0,2.0,2.0
2021-03-04,13.0,7.0,1.0,7.0,0.0
2021-03-05,19.0,2.0,5.0,13.0,4.0
2021-03-06,3.0,2.0,0.0,0.0,0.0
2021-03-07,5.0,0.0,0.0,0.0,0.0
2021-03-08,12.0,5.0,2.0,15.0,1.0
2021-03-09,27.0,6.0,1.0,4.0,2.0
2021-03-10,14.0,6.0,1.0,8.0,1.0
2021-03-11,5.0,4.0,1.0,0.0,0.0
2021-03-12,9.0,3.0,2.0,0.0,2.0
2021-03-13,1.0,2.0,1.0,0.0,0.0
2021-03-14,14.0,3.0,2.0,0.0,0.0
2021-03-15,57.0,5.0,1.0,22.0,3.0
2021-03-16,27.0,3.0,1.0,8.0,1.0
2021-03-17,15.0,4.0,5.0,15.0,0.0
2021-03-18,17.0,6.0,1.0,38.0,0.0
2021-03-19,14.0,3.0,1.0,26.0,1.0
2021-03-20,5.0,2.0,0.0,0.0,0.0
2021-03-21,3.0,2.0,2.0,0.0,0.0
2021-03-22,26.0,5.0,4.0,25.0,2.0
2021-03-23,18.0,3.0,1.0,10.0,1.0
2021-03-24,20.0,9.0,2.0,0.0,1.0
2021-03-25,22.0,2.0,1.0,25.0,4.0
2021-03-26,32.0,3.0,1.0,0.0,2.0
2021-03-27,3.0,3.0,0.0,2.0,0.0
2021-03-28,2.0,7.0,0.0,0.0,0.0
2021-03-29,7.0,9.0,0.0,10.0,1.0
2021-03-30,14.0,5.0,2.0,16.0,3.0
2021-03-31,15.0,4.0,0.0,10.0,1.0
2021-04-01,16.0,6.0,4.0,13.0,0.0
2021-04-02,11.0,5.0,4.0,1.0,4.0
2021-04-03,2.0,3.0,0.0,0.0,0.0
2021-04-04,4.0,3.0,0.0,0.0,0.0
2021-04-05,7.0,4.0,1.0,0.0,0.0
2021-04-06,45.0,4.0,3.0,12.0,4.0
2021-04-07,17.0,7.0,2.0,2.0,0.0
2021-04-08,15.0,5.0,2.0,5.0,2.0
2021-04-09,35.0,4.0,0.0,8.0,1.0
2021-04-10,6.0,1.0,1.0,0.0,0.0
2021-04-11,8.0,6.0,0.0,0.0,0.0
2021-04-12,37.0,8.0,6.0,15.0,2.0
2021-04-13,25.0,5.0,2.0,7.0,3.0
2021-04-14,27.0,1.0,1.0,9.0,6.0
2021-04-15,37.0,14.0,8.0,2.0,0.0
2021-04-16,45.0,8.0,3.0,4.0,1.0
2021-04-17,8.0,5.0,1.0,0.0,0.0
2021-04-18,12.0,7.0,0.0,0.0,1.0
2021-04-19,58.0,10.0,6.0,46.0,3.0
2021-04-20,34.0,9.0,2.0,16.0,1.0
2021-04-21,36.0,6.0,1.0,5.0,4.0
2021-04-22,5.0,3.0,3.0,0.0,1.0
2021-04-23,26.0,6.0,1.0,7.0,2.0
2021-04-24,13.0,3.0,0.0,1.0,0.0
2021-04-25,30.0,1.0,2.0,14.0,0.0
2021-04-26,14.0,9.0,4.0,17.0,5.0
2021-04-27,15.0,4.0,0.0,15.0,2.0
2021-04-28,26.0,3.0,3.0,7.0,7.0
2021-04-29,11.0,7.0,0.0,1.0,1.0
2021-04-30,7.0,8.0,2.0,3.0,1.0
2021-05-01,8.0,1.0,0.0,0.0,0.0
2021-05-02,1.0,0.0,0.0,0.0,0.0
2021-05-03,16.0,7.0,1.0,0.0,2.0
2021-05-04,2.0,2.0,0.0,0.0,0.0
2021-05-05,7.0,2.0,2.0,0.0,0.0
2021-05-06,18.0,2.0,0.0,0.0,0.0
2021-05-07,15.0,2.0,4.0,0.0,0.0
2021-05-08,28.0,4.0,1.0,1.0,2.0
2021-05-09,7.0,1.0,2.0,3.0,0.0
2021-05-10,16.0,2.0,0.0,2.0,1.0
2021-05-11,8.0,1.0,3.0,15.0,0.0
2021-05-12,23.0,3.0,3.0,14.0,0.0
2021-05-13,9.0,10.0,0.0,2.0,0.0
2021-05-14,15.0,4.0,2.0,18.0,5.0
2021-05-15,4.0,2.0,1.0,18.0,1.0
2021-05-16,9.0,2.0,1.0,0.0,0.0
2021-05-17,9.0,7.0,1.0,2.0,0.0
2021-05-18,12.0,2.0,3.0,8.0,5.0
2021-05-19,4.0,3.0,1.0,0.0,1.0
2021-05-20,5.0,3.0,0.0,0.0,0.0
2021-05-21,36.0,2.0,9.0,9.0,3.0
2021-05-22,3.0,2.0,0.0,0.0,0.0
2021-05-23,7.0,4.0,1.0,1.0,3.0
2021-05-24,24.0,6.0,1.0,2.0,1.0
2021-05-25,19.0,1.0,2.0,11.0,1.0
2021-05-26,28.0,7.0,6.0,12.0,5.0
2021-05-27,13.0,4.0,1.0,21.0,4.0
2021-05-28,14.0,6.0,1.0,1.0,1.0
2021-05-29,7.0,1.0,2.0,0.0,0.0
2021-05-30,5.0,2.0,1.0,0.0,0.0
2021-05-31,59.0,3.0,3.0,15.0,2.0
2021-06-01,19.0,2.0,2.0,10.0,1.0
2021-06-02,24.0,5.0,8.0,9.0,1.0
2021-06-03,20.0,6.0,2.0,17.0,1.0
2021-06-04,22.0,8.0,2.0,2.0,0.0
2021-06-05,8.0,2.0,1.0,5.0,0.0
2021-06-06,22.0,5.0,4.0,6.0,2.0
2021-06-07,16.0,3.0,3.0,29.0,1.0
2021-06-08,17.0,3.0,2.0,11.0,1.0
2021-06-09,25.0,5.0,2.0,5.0,4.0
2021-06-10,27.0,8.0,2.0,4.0,0.0
2021-06-11,17.0,3.0,1.0,2.0,1.0
2021-06-12,4.0,1.0,1.0,0.0,1.0
2021-06-13,6.0,6.0,0.0,2.0,0.0
2021-06-14,15.0,6.0,1.0,10.0,5.0
2021-06-15,61.0,7.0,4.0,9.0,2.0
2021-06-16,32.0,9.0,4.0,18.0,2.0
2021-06-17,29.0,7.0,1.0,4.0,0.0
2021-06-18,19.0,1.0,1.0,2.0,0.0
2021-06-19,7.0,7.0,0.0,0.0,0.0
2021-06-20,16.0,3.0,1.0,8.0,4.0
2021-06-21,24.0,7.0,2.0,6.0,0.0
2021-06-22,47.0,5.0,4.0,13.0,4.0
2021-06-23,24.0,7.0,4.0,26.0,1.0
2021-06-24,48.0,12.0,5.0,1.0,7.0
2021-06-25,49.0,11.0,0.0,18.0,4.0
2021-06-26,4.0,1.0,1.0,4.0,0.0
2021-06-27,10.0,4.0,1.0,0.0,0.0
2021-06-28,26.0,6.0,3.0,6.0,1.0
2021-06-29,57.0,7.0,2.0,14.0,5.0
2021-06-30,33.0,6.0,5.0,0.0,1.0
2021-07-01,19.0,4.0,2.0,4.0,1.0
2021-07-02,42.0,7.0,7.0,18.0,3.0
2021-07-03,19.0,3.0,1.0,0.0,0.0
2021-07-04,9.0,3.0,1.0,0.0,0.0
2021-07-05,22.0,11.0,4.0,22.0,5.0
2021-07-06,62.0,7.0,6.0,50.0,3.0
2021-07-07,36.0,5.0,7.0,57.0,5.0
2021-07-08,30.0,6.0,1.0,5.0,4.0
2021-07-09,16.0,6.0,1.0,3.0,0.0
2021-07-10,8.0,6.0,0.0,0.0,0.0
2021-07-11,2.0,3.0,0.0,6.0,0.0
2021-07-12,29.0,5.0,2.0,3.0,0.0
2021-07-13,22.0,11.0,2.0,6.0,5.0
2021-07-14,27.0,5.0,0.0,15.0,0.0
2021-07-15,59.0,6.0,2.0,10.0,1.0
2021-07-16,34.0,5.0,3.0,13.0,3.0
2021-07-17,14.0,5.0,0.0,0.0,0.0
2021-07-18,9.0,4.0,1.0,0.0,0.0
2021-07-19,24.0,3.0,5.0,29.0,0.0
2021-07-20,50.0,6.0,3.0,6.0,4.0
2021-07-21,29.0,6.0,2.0,13.0,3.0
2021-07-22,13.0,3.0,1.0,5.0,0.0
2021-07-23,11.0,4.0,3.0,14.0,0.0
2021-07-24,3.0,4.0,0.0,3.0,1.0
2021-07-25,14.0,7.0,0.0,0.0,0.0
2021-07-26,6.0,3.0,2.0,1.0,0.0
2021-07-27,18.0,3.0,5.0,0.0,9.0
2021-07-28,8.0,8.0,4.0,4.0,3.0
2021-07-29,20.0,7.0,3.0,13.0,6.0
2021-07-30,15.0,6.0,5.0,7.0,2.0
2021-07-31,10.0,4.0,3.0,0.0,2.0
2021-08-01,33.0,2.0,3.0,13.0,0.0
2021-08-02,37.0,8.0,7.0,2.0,4.0
2021-08-03,42.0,8.0,12.0,98.0,4.0
2021-08-04,20.0,6.0,4.0,16.0,0.0
2021-08-05,19.0,8.0,0.0,33.0,6.0
2021-08-06,20.0,9.0,1.0,35.0,5.0
2021-08-07,37.0,4.0,5.0,0.0,0.0
2021-08-08,6.0,0.0,5.0,4.0,1.0
2021-08-09,34.0,11.0,4.0,67.0,1.0
2021-08-10,32.0,5.0,6.0,16.0,0.0
2021-08-11,35.0,5.0,4.0,18.0,5.0
2021-08-12,28.0,7.0,2.0,14.0,2.0
2021-08-13,33.0,6.0,2.0,1.0,1.0
2021-08-14,15.0,4.0,3.0,3.0,0.0
2021-08-15,16.0,2.0,0.0,2.0,0.0
2021-08-16,50.0,1.0,4.0,15.0,3.0
2021-08-17,20.0,5.0,4.0,3.0,0.0
2021-08-18,47.0,4.0,4.0,36.0,2.0
2021-08-19,25.0,3.0,0.0,41.0,0.0
2021-08-20,15.0,6.0,3.0,7.0,0.0
2021-08-21,0.0,1.0,0.0,1.0,1.0
2021-08-22,7.0,1.0,0.0,0.0,1.0
2021-08-23,45.0,3.0,3.0,18.0,1.0
2021-08-24,41.0,5.0,4.0,21.0,2.0
2021-08-25,28.0,3.0,2.0,65.0,10.0
2021-08-26,0.0,0.0,0.0,0.0,0.0
2021-08-27,0.0,0.0,0.0,0.0,0.0
2021-08-28,9.0,2.0,0.0,3.0,0.0
2021-08-29,7.0,3.0,1.0,0.0,0.0
2021-08-30,58.0,7.0,5.0,13.0,8.0
2021-08-31,55.0,7.0,5.0,12.0,1.0
2021-09-01,52.0,11.0,5.0,14.0,2.0
2021-09-02,35.0,7.0,5.0,1.0,0.0
2021-09-03,44.0,9.0,2.0,19.0,0.0
2021-09-04,12.0,3.0,0.0,11.0,4.0
2021-09-05,19.0,3.0,0.0,0.0,0.0
2021-09-06,20.0,1.0,2.0,5.0,0.0
2021-09-07,44.0,14.0,1.0,12.0,5.0
2021-09-08,7.0,5.0,0.0,11.0,1.0
2021-09-09,17.0,5.0,1.0,2.0,2.0
2021-09-10,26.0,8.0,2.0,29.0,1.0
2021-09-11,7.0,3.0,0.0,3.0,0.0
2021-09-12,5.0,4.0,1.0,1.0,0.0
2021-09-13,42.0,6.0,1.0,4.0,1.0
2021-09-14,30.0,8.0,3.0,17.0,3.0
2021-09-15,47.0,2.0,1.0,15.0,6.0
2021-09-16,27.0,4.0,2.0,0.0,0.0
2021-09-17,22.0,7.0,2.0,7.0,2.0
2021-09-18,11.0,3.0,0.0,2.0,0.0
