date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2015-07-22,4.0,2.0,0.0,0.0,0.0
2015-07-23,1.0,3.0,1.0,0.0,1.0
2015-07-24,5.0,0.0,0.0,0.0,0.0
2015-07-25,0.0,0.0,0.0,0.0,0.0
2015-07-26,0.0,0.0,0.0,0.0,0.0
2015-07-27,1.0,1.0,0.0,0.0,0.0
2015-07-28,3.0,0.0,1.0,0.0,1.0
2015-07-29,0.0,0.0,1.0,0.0,1.0
2015-07-30,0.0,0.0,1.0,0.0,1.0
2015-07-31,0.0,0.0,1.0,0.0,1.0
2015-08-01,0.0,0.0,0.0,0.0,0.0
2015-08-02,0.0,0.0,1.0,0.0,1.0
2015-08-03,0.0,0.0,0.0,0.0,0.0
2015-08-04,0.0,0.0,0.0,0.0,0.0
2015-08-05,0.0,0.0,0.0,0.0,0.0
2015-08-06,0.0,0.0,1.0,0.0,1.0
2015-08-07,0.0,0.0,0.0,0.0,0.0
2015-08-08,0.0,0.0,0.0,0.0,0.0
2015-08-09,0.0,0.0,0.0,0.0,0.0
2015-08-10,0.0,0.0,0.0,0.0,0.0
2015-08-11,0.0,1.0,0.0,0.0,0.0
2015-08-12,4.0,0.0,0.0,0.0,0.0
2015-08-13,0.0,0.0,0.0,0.0,0.0
2015-08-14,0.0,0.0,2.0,0.0,2.0
2015-08-15,0.0,0.0,0.0,0.0,0.0
2015-08-16,0.0,0.0,0.0,0.0,0.0
2015-08-17,0.0,0.0,0.0,0.0,0.0
2015-08-18,0.0,0.0,0.0,0.0,0.0
2015-08-19,0.0,0.0,0.0,0.0,0.0
2015-08-20,0.0,0.0,0.0,0.0,0.0
2015-08-21,0.0,0.0,0.0,0.0,0.0
2015-08-22,0.0,0.0,0.0,0.0,0.0
2015-08-23,0.0,0.0,0.0,0.0,0.0
2015-08-24,0.0,0.0,0.0,0.0,0.0
2015-08-25,0.0,1.0,0.0,0.0,0.0
2015-08-26,0.0,0.0,0.0,0.0,0.0
2015-08-27,0.0,0.0,0.0,0.0,0.0
2015-08-28,0.0,0.0,0.0,0.0,0.0
2015-08-29,0.0,0.0,0.0,0.0,0.0
2015-08-30,0.0,0.0,0.0,0.0,0.0
2015-08-31,4.0,1.0,0.0,0.0,0.0
2015-09-01,2.0,0.0,0.0,0.0,0.0
2015-09-02,0.0,0.0,0.0,0.0,0.0
2015-09-03,0.0,0.0,0.0,0.0,0.0
2015-09-04,0.0,0.0,0.0,0.0,0.0
2015-09-05,0.0,0.0,1.0,0.0,1.0
2015-09-06,0.0,0.0,1.0,0.0,0.0
2015-09-07,1.0,1.0,0.0,0.0,0.0
2015-09-08,0.0,0.0,0.0,0.0,0.0
2015-09-09,1.0,0.0,2.0,0.0,3.0
2015-09-10,1.0,0.0,0.0,0.0,0.0
2015-09-11,0.0,0.0,0.0,0.0,0.0
2015-09-12,0.0,0.0,0.0,0.0,0.0
2015-09-13,0.0,0.0,0.0,0.0,0.0
2015-09-14,0.0,0.0,0.0,0.0,0.0
2015-09-15,2.0,1.0,0.0,0.0,0.0
2015-09-16,0.0,0.0,0.0,0.0,0.0
2015-09-17,0.0,0.0,0.0,0.0,0.0
2015-09-18,1.0,0.0,3.0,0.0,3.0
2015-09-19,0.0,0.0,1.0,0.0,1.0
2015-09-20,0.0,0.0,0.0,0.0,0.0
2015-09-21,0.0,0.0,0.0,0.0,0.0
2015-09-22,0.0,0.0,1.0,0.0,0.0
2015-09-23,1.0,0.0,1.0,0.0,2.0
2015-09-24,0.0,0.0,1.0,0.0,1.0
2015-09-25,0.0,0.0,1.0,0.0,1.0
2015-09-26,0.0,0.0,0.0,0.0,0.0
2015-09-27,0.0,0.0,1.0,0.0,1.0
2015-09-28,0.0,0.0,1.0,0.0,1.0
2015-09-29,0.0,0.0,0.0,0.0,0.0
2015-09-30,0.0,0.0,2.0,0.0,1.0
2015-10-01,2.0,0.0,1.0,1.0,0.0
2015-10-02,2.0,0.0,2.0,0.0,3.0
2015-10-03,0.0,0.0,0.0,0.0,0.0
2015-10-04,0.0,0.0,1.0,0.0,2.0
2015-10-05,0.0,0.0,2.0,0.0,2.0
2015-10-06,0.0,0.0,1.0,0.0,0.0
2015-10-07,1.0,1.0,1.0,0.0,1.0
2015-10-08,2.0,0.0,0.0,0.0,1.0
2015-10-09,0.0,0.0,0.0,0.0,0.0
2015-10-10,0.0,0.0,0.0,0.0,0.0
2015-10-11,0.0,0.0,0.0,0.0,0.0
2015-10-12,0.0,0.0,1.0,0.0,1.0
2015-10-13,3.0,1.0,1.0,1.0,1.0
2015-10-14,0.0,0.0,0.0,0.0,0.0
2015-10-15,0.0,1.0,0.0,0.0,0.0
2015-10-16,6.0,1.0,0.0,0.0,0.0
2015-10-17,0.0,0.0,0.0,0.0,0.0
2015-10-18,0.0,0.0,0.0,0.0,0.0
2015-10-19,2.0,0.0,0.0,0.0,0.0
2015-10-20,1.0,0.0,3.0,0.0,3.0
2015-10-21,0.0,0.0,0.0,0.0,0.0
2015-10-22,0.0,1.0,0.0,0.0,0.0
2015-10-23,0.0,1.0,0.0,0.0,0.0
2015-10-24,0.0,0.0,0.0,0.0,0.0
2015-10-25,0.0,0.0,0.0,0.0,0.0
2015-10-26,1.0,0.0,0.0,0.0,0.0
2015-10-27,0.0,0.0,1.0,0.0,1.0
2015-10-28,0.0,0.0,0.0,0.0,0.0
2015-10-29,0.0,0.0,0.0,0.0,0.0
2015-10-30,0.0,0.0,0.0,0.0,0.0
2015-10-31,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0
2015-11-02,0.0,0.0,0.0,0.0,0.0
2015-11-03,0.0,0.0,0.0,0.0,0.0
2015-11-04,0.0,0.0,0.0,0.0,0.0
2015-11-05,0.0,0.0,0.0,0.0,0.0
2015-11-06,1.0,1.0,0.0,0.0,0.0
2015-11-07,1.0,0.0,0.0,0.0,0.0
2015-11-08,0.0,0.0,1.0,0.0,1.0
2015-11-09,0.0,0.0,0.0,0.0,0.0
2015-11-10,4.0,0.0,2.0,0.0,2.0
2015-11-11,0.0,0.0,0.0,0.0,0.0
2015-11-12,0.0,0.0,0.0,0.0,0.0
2015-11-13,0.0,0.0,0.0,0.0,0.0
2015-11-14,0.0,0.0,1.0,0.0,0.0
2015-11-15,1.0,0.0,0.0,0.0,1.0
2015-11-16,0.0,0.0,0.0,0.0,0.0
2015-11-17,0.0,0.0,0.0,0.0,0.0
2015-11-18,0.0,0.0,0.0,0.0,0.0
2015-11-19,0.0,0.0,0.0,0.0,0.0
2015-11-20,0.0,0.0,0.0,0.0,0.0
2015-11-21,2.0,1.0,1.0,0.0,0.0
2015-11-22,0.0,0.0,0.0,0.0,0.0
2015-11-23,0.0,0.0,0.0,0.0,1.0
2015-11-24,1.0,0.0,3.0,0.0,2.0
2015-11-25,0.0,0.0,0.0,0.0,0.0
2015-11-26,1.0,0.0,0.0,0.0,1.0
2015-11-27,0.0,0.0,0.0,0.0,0.0
2015-11-28,0.0,0.0,0.0,0.0,0.0
2015-11-29,0.0,0.0,0.0,0.0,0.0
2015-11-30,0.0,0.0,2.0,0.0,2.0
2015-12-01,0.0,0.0,0.0,0.0,0.0
2015-12-02,0.0,0.0,0.0,0.0,0.0
2015-12-03,0.0,0.0,0.0,0.0,0.0
2015-12-04,0.0,0.0,5.0,0.0,5.0
2015-12-05,0.0,0.0,0.0,0.0,0.0
2015-12-06,0.0,0.0,0.0,0.0,0.0
2015-12-07,0.0,0.0,0.0,0.0,0.0
2015-12-08,0.0,0.0,1.0,0.0,1.0
2015-12-09,0.0,0.0,2.0,0.0,2.0
2015-12-10,0.0,0.0,1.0,0.0,1.0
2015-12-11,0.0,0.0,0.0,0.0,0.0
2015-12-12,3.0,1.0,0.0,0.0,0.0
2015-12-13,0.0,0.0,2.0,0.0,1.0
2015-12-14,0.0,0.0,2.0,0.0,2.0
